Everton,0,1,Wolves,2023-08-26
Wolves,1,1,Everton,2023-05-20
Everton,1,2,Wolves,2022-12-26
Everton,0,1,Wolves,2022-03-13
Wolves,2,1,Everton,2021-11-01
Everton,1,0,Wolves,2021-05-19
Wolves,1,2,Everton,2021-01-12
Wolves,3,0,Everton,2020-07-12
Burnley,0,3,Man City,2024-01-01
Arsenal,2,1,Nottingham Forest,2024-01-02
Bournemouth,1,1,West Ham,2024-01-03
Brighton,4,1,Luton,2024-01-04
Everton,0,1,Fulham,2024-01-05
Sheffield Utd,0,1,Crystal Palace,2024-01-06
Newcastle,5,1,Aston Villa,2024-01-07
Brentford,2,2,Spurs,2024-01-08
Chelsea,1,1,Liverpool,2024-01-09
Man Utd,1,0,Wolves,2024-01-10
Nottingham Forest,2,1,Sheffield Utd,2024-01-11
Fulham,0,3,Brentford,2024-01-12
Liverpool,3,1,Bournemouth,2024-01-13
Wolves,1,4,Brighton,2024-01-14
Spurs,2,0,Man Utd,2024-01-15
Man City,1,0,Newcastle,2024-01-16
Aston Villa,4,0,Everton,2024-01-17
West Ham,3,1,Chelsea,2024-01-18
Crystal Palace,0,1,Arsenal,2024-01-19
Luton,1,2,Burnley,2024-01-20
Chelsea,3,0,Luton,2024-01-21
Bournemouth,0,2,Spurs,2024-01-22
Arsenal,2,2,Fulham,2024-01-23
Brentford,1,1,Crystal Palace,2024-01-24
Everton,0,1,Wolves,2024-01-25
Man Utd,3,2,Nottingham Forest,2024-01-26
Brighton,1,3,West Ham,2024-01-27
Burnley,1,3,Aston Villa,2024-01-28
Sheffield Utd,1,2,Man City,2024-01-29
Newcastle,1,2,Liverpool,2024-01-30
Luton,1,2,West Ham,2024-01-31
Sheffield Utd,2,2,Everton,2024-02-01
Brentford,2,2,Bournemouth,2024-02-02
Burnley,2,5,Spurs,2024-02-03
Chelsea,0,1,Nottingham Forest,2024-02-04
Man City,5,1,Fulham,2024-02-05
Brighton,3,1,Newcastle,2024-02-06
Crystal Palace,3,2,Wolves,2024-02-07
Liverpool,3,0,Aston Villa,2024-02-08
Arsenal,3,1,Man Utd,2024-02-09
Wolves,1,3,Liverpool,2024-02-10
Aston Villa,3,1,Crystal Palace,2024-02-11
Fulham,1,0,Luton,2024-02-12
Man Utd,1,3,Brighton,2024-02-13
Spurs,2,1,Sheffield Utd,2024-02-14
West Ham,1,3,Man City,2024-02-15
Newcastle,1,0,Brentford,2024-02-16
Bournemouth,0,0,Chelsea,2024-02-17
Everton,0,1,Arsenal,2024-02-18
Nottingham Forest,1,1,Burnley,2024-02-19
Crystal Palace,0,0,Fulham,2024-02-20
Luton,1,1,Wolves,2024-02-21
Man City,2,0,Nottingham Forest,2024-02-22
Brentford,1,3,Everton,2024-02-23
Burnley,0,1,Man Utd,2024-02-24
Arsenal,2,2,Spurs,2024-02-25
Brighton,3,1,Bournemouth,2024-02-26
Chelsea,0,1,Aston Villa,2024-02-27
Liverpool,3,1,West Ham,2024-02-28
Sheffield Utd,0,8,Newcastle,2024-02-29
Aston Villa,6,1,Brighton,2024-03-01
Bournemouth,0,4,Arsenal,2024-03-02
Everton,1,2,Luton,2024-03-03
Man Utd,0,1,Crystal Palace,2024-03-04
Newcastle,2,0,Burnley,2024-03-05
West Ham,2,0,Sheffield Utd,2024-03-06
Wolves,2,1,Man City,2024-03-07
Spurs,2,1,Liverpool,2024-03-08
Nottingham Forest,1,1,Brentford,2024-03-09
Fulham,0,2,Chelsea,2024-03-10
Luton,0,1,Spurs,2024-03-11
Burnley,1,4,Chelsea,2024-03-12
Everton,3,0,Bournemouth,2024-03-13
Fulham,3,1,Sheffield Utd,2024-03-14
Man Utd,2,1,Brentford,2024-03-15
Crystal Palace,0,0,Nottingham Forest,2024-03-16
Brighton,2,2,Liverpool,2024-03-17
West Ham,2,2,Newcastle,2024-03-18
Wolves,1,1,Aston Villa,2024-03-19
Arsenal,1,0,Man City,2024-03-20
Liverpool,2,0,Everton,2024-03-21
Bournemouth,1,2,Wolves,2024-03-22
Brentford,3,0,Burnley,2024-03-23
Man City,2,1,Brighton,2024-03-24
Newcastle,4,0,Crystal Palace,2024-03-25
Nottingham Forest,2,2,Luton,2024-03-26
Chelsea,2,2,Arsenal,2024-03-27
Sheffield Utd,1,2,Man Utd,2024-03-28
Aston Villa,4,1,West Ham,2024-03-29
Spurs,2,0,Fulham,2024-03-30
Crystal Palace,1,2,Spurs,2024-03-31
Chelsea,0,2,Brentford,2024-04-01
Arsenal,5,0,Sheffield Utd,2024-04-02
Bournemouth,2,1,Burnley,2024-04-03
Wolves,2,2,Newcastle,2024-04-04
West Ham,0,1,Everton,2024-04-05
Aston Villa,3,1,Luton,2024-04-06
Brighton,1,1,Fulham,2024-04-07
Liverpool,3,0,Nottingham Forest,2024-04-08
Man Utd,0,3,Man City,2024-04-09
Fulham,0,1,Man Utd,2024-04-10
Brentford,3,2,West Ham,2024-04-11
Burnley,0,2,Crystal Palace,2024-04-12
Everton,1,1,Brighton,2024-04-13
Man City,6,1,Bournemouth,2024-04-14
Sheffield Utd,2,1,Wolves,2024-04-15
Newcastle,1,0,Arsenal,2024-04-16
Nottingham Forest,2,0,Aston Villa,2024-04-17
Luton,1,1,Liverpool,2024-04-18
Spurs,1,4,Chelsea,2024-04-19
Wolves,2,1,Spurs,2024-04-20
Arsenal,3,1,Burnley,2024-04-21
Crystal Palace,2,3,Everton,2024-04-22
Man Utd,1,0,Luton,2024-04-23
Bournemouth,2,0,Newcastle,2024-04-24
Aston Villa,3,1,Fulham,2024-04-25
Brighton,1,1,Sheffield Utd,2024-04-26
Liverpool,3,0,Brentford,2024-04-27
West Ham,3,2,Nottingham Forest,2024-04-28
Chelsea,4,4,Man City,2024-04-29
Man City,1,1,Liverpool,2024-04-30
Burnley,1,2,West Ham,2024-05-01
Luton,2,1,Crystal Palace,2024-05-02
Newcastle,4,1,Chelsea,2024-05-03
Nottingham Forest,2,3,Brighton,2024-05-04
Sheffield Utd,1,3,Bournemouth,2024-05-05
Brentford,0,1,Arsenal,2024-05-06
Spurs,1,2,Aston Villa,2024-05-07
Everton,0,3,Man Utd,2024-05-08
Fulham,3,2,Wolves,2024-05-09
Arsenal,2,1,Wolves,2024-05-10
Brentford,3,1,Luton,2024-05-11
